"transactions";"elapsed";"perSecond";"date";"memory";"average";"averageMemory"
"1618";"1.0010000000000001";"1616.3836163836163";"2021-5-6 12:05:36";"10.412574768066406";"1616.3836163836163";"10.412574768066406"
"4880";"1";"4880";"2021-5-6 12:05:37";"13.288978576660156";"3248.1918081918084";"11.850776672363281"
"7484";"1.0190000000000001";"7344.455348380765";"2021-5-6 12:05:38";"14.897712707519531";"4613.612988254794";"12.866422017415365"
"7565";"1.01";"7490.09900990099";"2021-5-6 12:05:39";"10.748779296875";"5332.734493666343";"12.337011337280273"
"7519";"1.0130000000000001";"7422.507403751233";"2021-5-6 12:05:40";"19.722984313964844";"5750.689075683321";"13.814205932617188"
"7592";"1.006";"7546.719681908548";"2021-5-6 12:05:41";"21.611534118652344";"6050.027510054192";"15.113760630289713"
"7615";"1.0070000000000001";"7562.065541211518";"2021-5-6 12:05:42";"24.879600524902344";"6266.032943076667";"16.508880615234375"
"7562";"1.002";"7546.906187624751";"2021-5-6 12:05:43";"10.776206970214844";"6426.142098645178";"15.792296409606934"
"7603";"1.008";"7542.65873015873";"2021-5-6 12:05:44";"13.222694396972656";"6550.199502146683";"15.506785074869791"
"7774";"1.0230000000000001";"7599.217986314759";"2021-5-6 12:05:45";"21.58666229248047";"6655.101350563491";"16.11477279663086"
"7578";"1";"7578";"2021-5-6 12:05:46";"23.716232299804688";"6739.001227784992";"16.80581456964666"
"7686";"1.022";"7520.54794520548";"2021-5-6 12:05:47";"12.956108093261719";"6804.130120903366";"16.485005696614582"
"7619";"1.0090000000000001";"7551.040634291377";"2021-5-6 12:05:48";"15.890464782714844";"6861.584775779367";"16.43927178016076"
"7677";"1.0190000000000001";"7533.856722276741";"2021-5-6 12:05:49";"20.27643585205078";"6909.60420052918";"16.713354928152903"
"7682";"1.018";"7546.168958742633";"2021-5-6 12:05:50";"9.586502075195312";"6952.041851076744";"16.238231404622397"
"7702";"1.0230000000000001";"7528.8367546432055";"2021-5-6 12:05:51";"15.87518310546875";"6988.091532549648";"16.215540885925293"
"7484";"1";"7484";"2021-5-6 12:05:52";"14.348640441894531";"7017.262618870257";"16.105723212747012"
"7744";"1.0190000000000001";"7599.607458292443";"2021-5-6 12:05:53";"22.445289611816406";"7049.615109949267";"16.457921346028645"
"7618";"1.01";"7542.574257425743";"2021-5-6 12:05:54";"10.069664001464844";"7075.560328237502";"16.12169727526213"
"7606";"1.0050000000000001";"7568.159203980099";"2021-5-6 12:05:55";"13.032470703125";"7100.190272024632";"15.967235946655274"
"7609";"1.008";"7548.611111111111";"2021-5-6 12:05:56";"15.818138122558594";"7121.543645314465";"15.960136050269718"
"7659";"1.0130000000000001";"7560.710760118459";"2021-5-6 12:05:57";"20.72222900390625";"7141.505786896465";"16.17659482088956"
"7670";"1.0150000000000001";"7556.650246305418";"2021-5-6 12:05:58";"9.918838500976562";"7159.555546001202";"15.904518459154213"
"7640";"1.012";"7549.407114624506";"2021-5-6 12:06:00";"14.469429016113281";"7175.799361360507";"15.844723065694174"
"7278";"1.0010000000000001";"7270.72927072927";"2021-5-6 12:06:01";"21.758956909179688";"7179.596557735257";"16.081292419433595"
"7223";"1.0150000000000001";"7116.256157635467";"2021-5-6 12:06:02";"23.671676635742188";"7177.16038850065";"16.373230273907"
"7564";"1.027";"7365.141187925999";"2021-5-6 12:06:03";"22.194595336914062";"7184.1226403312185";"16.58883638735171"
"6662";"1.0050000000000001";"6628.855721393034";"2021-5-6 12:06:04";"21.871849060058594";"7164.29167894057";"16.777515411376953"
"7290";"1.036";"7036.679536679537";"2021-5-6 12:06:05";"25.36280059814453";"7159.891260241913";"17.073559728162042"
"7754";"1.0210000000000001";"7594.515181194906";"2021-5-6 12:06:06";"13.977760314941406";"7174.378724273679";"16.97036641438802"
"7415";"1.004";"7385.4581673306775";"2021-5-6 12:06:07";"10.238433837890625";"7181.187738565841";"16.753207299017138"
"7534";"1.008";"7474.206349206349";"2021-5-6 12:06:08";"10.069725036621094";"7190.344570148357";"16.54434847831726"
"7552";"1.014";"7447.731755424063";"2021-5-6 12:06:09";"9.834457397460938";"7198.144181823378";"16.34101844556404"
"7572";"1.0030000000000001";"7549.351944167497";"2021-5-6 12:06:10";"11.712051391601562";"7208.473821892323";"16.204872355741614"
"7677";"1.0150000000000001";"7563.546798029556";"2021-5-6 12:06:11";"17.166046142578125";"7218.618764067673";"16.23233446393694"
"7322";"1.0090000000000001";"7256.689791873141";"2021-5-6 12:06:12";"24.77751922607422";"7219.676292617824";"16.469700707329643"
"7223";"1.0230000000000001";"7060.60606060606";"2021-5-6 12:06:13";"11.869766235351562";"7215.377097158048";"16.34537815403294"
"7533";"1.036";"7271.235521235521";"2021-5-6 12:06:14";"10.673721313476562";"7216.847055686402";"16.196124026649876"
"7533";"1.014";"7428.994082840237";"2021-5-6 12:06:15";"24.18242645263672";"7222.28672304932";"16.40090101193159"
"7532";"1.008";"7472.222222222222";"2021-5-6 12:06:16";"24.18499755859375";"7228.535110528644";"16.595503425598146"
"7282";"1.012";"7195.652173913043";"2021-5-6 12:06:17";"14.581466674804688";"7227.73308768436";"16.546380578017818"
"7574";"1.0130000000000001";"7476.801579466929";"2021-5-6 12:06:18";"14.69329833984375";"7233.663289869659";"16.502259572347004"
"7407";"1.04";"7122.115384615385";"2021-5-6 12:06:19";"23.971153259277344";"7231.0691525381635";"16.67595477436864"
"7028";"1.074";"6543.761638733706";"2021-5-6 12:06:20";"18.65013885498047";"7215.4485272244265";"16.720822594382547"
