"transactions";"elapsed";"perSecond";"date";"memory";"average";"averageMemory"
"4881";"1.02";"4785.294117647059";"2021-5-6 12:08:38";"15.391349792480469";"4785.294117647059";"15.391349792480469"
"7505";"1.01";"7430.693069306931";"2021-5-6 12:08:39";"16.43987274169922";"6107.993593476995";"15.915611267089844"
"7701";"1.024";"7520.5078125";"2021-5-6 12:08:40";"8.375518798828125";"6578.831666484663";"13.402247111002604"
"7925";"1.039";"7627.52646775746";"2021-5-6 12:08:41";"10.286735534667969";"6841.005366802862";"12.623369216918945"
"7887";"1.035";"7620.289855072464";"2021-5-6 12:08:42";"11.223808288574219";"6996.862264456783";"12.34345703125"
"7658";"1.006";"7612.326043737575";"2021-5-6 12:08:43";"16.482528686523438";"7099.439561003582";"13.033302307128906"
"7924";"1.04";"7619.230769230769";"2021-5-6 12:08:44";"19.11676025390625";"7173.695447893179";"13.902367728097099"
"7768";"1.02";"7615.686274509804";"2021-5-6 12:08:45";"14.227851867675781";"7228.944301220257";"13.943053245544434"
"7858";"1.034";"7599.613152804642";"2021-5-6 12:08:46";"15.186851501464844";"7270.1297291740775";"14.081253051757812"
"7858";"1.034";"7599.613152804642";"2021-5-6 12:08:47";"16.271400451660156";"7303.078071537134";"14.300267791748047"
"7659";"1.0150000000000001";"7545.812807881773";"2021-5-6 12:08:48";"8.448471069335938";"7325.144865750282";"13.768286271528764"
"7629";"1.01";"7553.465346534654";"2021-5-6 12:08:49";"14.185768127441406";"7344.1715724823125";"13.80307642618815"
"7701";"1.0210000000000001";"7542.605288932418";"2021-5-6 12:08:50";"22.245033264160156";"7359.435704516936";"14.452457721416767"
"7647";"1.0170000000000001";"7519.174041297934";"2021-5-6 12:08:51";"14.988410949707031";"7370.845585715579";"14.490740094866071"
"7717";"1.026";"7521.442495126706";"2021-5-6 12:08:52";"23.62413787841797";"7380.88537967632";"15.099633280436198"
"7564";"1.0090000000000001";"7496.53121902874";"2021-5-6 12:08:53";"9.607627868652344";"7388.113244635846";"14.756382942199707"
"7697";"1.024";"7516.6015625";"2021-5-6 12:08:54";"20.16925048828125";"7395.671380980796";"15.07478691549862"
"7619";"1.0150000000000001";"7506.403940886698";"2021-5-6 12:08:55";"8.886146545410156";"7401.823189864457";"14.730973561604818"
"7503";"1.0030000000000001";"7480.558325024925";"2021-5-6 12:08:56";"24.094398498535156";"7405.967144346588";"15.223785400390625"
"7667";"1.024";"7487.3046875";"2021-5-6 12:08:57";"16.666656494140625";"7410.034021504258";"15.295928955078125"
"7877";"1.046";"7530.592734225621";"2021-5-6 12:08:58";"18.82451629638672";"7415.774912586227";"15.463956923711867"
"7810";"1.054";"7409.867172675521";"2021-5-6 12:08:59";"16.007369995117188";"7415.506378953924";"15.488657517866654"
"7722";"1.031";"7489.815712900097";"2021-5-6 12:09:00";"10.7271728515625";"7418.737219560279";"15.281636445418648"
"7616";"1.0170000000000001";"7488.692232055063";"2021-5-6 12:09:01";"15.747100830078125";"7421.652011747562";"15.301030794779459"
"7761";"1.048";"7405.534351145038";"2021-5-6 12:09:02";"13.518157958984375";"7421.007305323461";"15.229715881347657"
"7885";"1.04";"7581.730769230769";"2021-5-6 12:09:03";"13.822212219238281";"7427.188977012203";"15.17558112511268"
"7850";"1.037";"7569.9132111861145";"2021-5-6 12:09:04";"15.274253845214844";"7432.475059759386";"15.179235670301649"
"7700";"1.025";"7512.19512195122";"2021-5-6 12:09:05";"24.79150390625";"7435.322204837666";"15.522530964442662"
"7784";"1.03";"7557.281553398058";"2021-5-6 12:09:06";"20.54505157470703";"7439.527699615611";"15.695721330313846"
"7736";"1.025";"7547.317073170732";"2021-5-6 12:09:07";"14.913131713867188";"7443.120678734115";"15.669635009765624"
"7813";"1.036";"7541.505791505791";"2021-5-6 12:09:08";"13.882637023925781";"7446.294392049331";"15.61198991344821"
"7889";"1.039";"7592.877767083735";"2021-5-6 12:09:09";"16.408485412597656";"7450.875122519155";"15.63688039779663"
"7673";"1.0030000000000001";"7650.049850448653";"2021-5-6 12:09:10";"21.75141143798828";"7456.9107203352005";"15.822169217196377"
"7758";"1.0170000000000001";"7628.318584070796";"2021-5-6 12:09:11";"15.945175170898438";"7461.95212809213";"15.825787039364085"
"7669";"1.002";"7653.692614770459";"2021-5-6 12:09:12";"21.313735961914062";"7467.430427711511";"15.98258558000837"
"7935";"1.038";"7644.508670520231";"2021-5-6 12:09:13";"24.027694702148438";"7472.349267789531";"16.20606083340115"
"7746";"1.0110000000000001";"7661.721068249257";"2021-5-6 12:09:15";"15.819595336914062";"7477.467424558713";"16.19561581998258"
"7814";"1.025";"7623.414634146342";"2021-5-6 12:09:16";"13.382225036621094";"7481.308140600492";"16.121579220420436"
"7948";"1.043";"7620.325982742091";"2021-5-6 12:09:17";"16.13208770751953";"7484.8727006554045";"16.12184866880759"
"8012";"1.042";"7689.059500959693";"2021-5-6 12:09:18";"22.955711364746094";"7489.977370663012";"16.292695236206054"
"7827";"1.028";"7613.813229571984";"2021-5-6 12:09:19";"22.158737182617188";"7492.99775746567";"16.43576943002096"
"7876";"1.02";"7721.56862745098";"2021-5-6 12:09:20";"23.751876831054688";"7498.439921036748";"16.609962463378906"
"7922";"1.028";"7706.225680933852";"2021-5-6 12:09:21";"26.31334686279297";"7503.2721480110995";"16.835622565690862"
"7767";"1.014";"7659.763313609467";"2021-5-6 12:09:22";"22.104843139648438";"7506.828765411062";"16.95537757873535"
"7916";"1.029";"7692.905733722061";"2021-5-6 12:09:23";"24.63965606689453";"7510.963809151307";"17.126139322916668"
"7714";"1.0010000000000001";"7706.293706293705";"2021-5-6 12:09:24";"15.646072387695312";"7515.210111263098";"17.09396395475968"
"7862";"1.016";"7738.188976377953";"2021-5-6 12:09:25";"15.294746398925781";"7519.954342435754";"17.05568273016747"
"7788";"1.0110000000000001";"7703.264094955489";"2021-5-6 12:09:26";"11.108299255371094";"7523.773295613249";"16.93177890777588"
"7745";"1.0090000000000001";"7675.9167492566885";"2021-5-6 12:09:27";"19.41051483154297";"7526.878264054951";"16.982365355199697"
"7763";"1.0170000000000001";"7633.23500491642";"2021-5-6 12:09:28";"15.82489013671875";"7529.00539887218";"16.959215850830077"
"7915";"1.027";"7706.913339824733";"2021-5-6 12:09:29";"18.801239013671875";"7532.49378987125";"16.99533395206227"
"7913";"1.025";"7720.000000000001";"2021-5-6 12:09:30";"20.013107299804688";"7536.099678527572";"17.05336805490347"
